knowledge_id,一级模块,二级模块,三级模块,知识点名称,难度,前置知识点,掌握标准,补弱建议
K_TRI_001,解三角形,入门题型,基本定理,内角和定理与边角关系,1,,能利用三角形内角和为180°进行角度转化，理解大边对大角的边角关系,复习内角和定理与边角关系的基本概念和公式，通过基础练习题巩固，确保公式记忆准确
K_TRI_002,解三角形,入门题型,基本定理,正弦定理,2,K_TRI_001,能准确写出正弦定理公式，理解2R的几何意义，能在已知两角一边或两边一对角时解三角形,复习正弦定理的基本概念和公式，通过基础练习题巩固，确保公式记忆准确
K_TRI_003,解三角形,入门题型,基本定理,余弦定理,2,K_TRI_001|K_TRI_002,能准确写出余弦定理及其变形公式，能在已知三边或两边夹角时解三角形,复习余弦定理的基本概念和公式，通过基础练习题巩固，确保公式记忆准确
K_TRI_004,解三角形,入门题型,基本定理,正弦定理与余弦定理的变形应用（边角互化）,3,K_TRI_002|K_TRI_003,能准确写出正弦定理公式，理解2R的几何意义，能在已知两角一边或两边一对角时解三角形,复习正弦定理与余弦定理的变形应用（边角互化）的基本方法，整理典型例题的解题步骤，多做中等难度练习
K_TRI_005,解三角形,入门题型,基本定理,降幂公式与二倍角公式,2,K_TRI_002,能正确应用二倍角公式和降幂公式进行三角恒等变换,复习降幂公式与二倍角公式的基本概念和公式，通过基础练习题巩固，确保公式记忆准确
K_TRI_006,解三角形,入门题型,三角形个数,三角形个数问题（SSA型多解/一解/无解）,3,K_TRI_002|K_TRI_004,能判断已知两边一对角（SSA型）时三角形解的个数（0个、1个、2个）,复习三角形个数问题（SSA型多解/一解/无解）的基本方法，整理典型例题的解题步骤，多做中等难度练习
K_TRI_007,解三角形,入门题型,三角形形状,三角形形状判断（边化角与角化边策略）,3,K_TRI_004|K_TRI_005,能通过边的关系或角的关系判断三角形的形状（等腰、直角、锐角、钝角等）,复习三角形形状判断（边化角与角化边策略）的基本方法，整理典型例题的解题步骤，多做中等难度练习
K_TRI_008,解三角形,入门题型,面积问题,三角形面积公式,2,K_TRI_002|K_TRI_003,能灵活运用多种面积公式求解三角形面积及相关问题,复习三角形面积公式的基本概念和公式，通过基础练习题巩固，确保公式记忆准确
K_TRI_009,解三角形,入门题型,面积问题,三角形周长计算（结合完全平方公式）,3,K_TRI_003|K_TRI_008,能结合完全平方公式求解三角形周长及相关范围问题,复习三角形周长计算（结合完全平方公式）的基本方法，整理典型例题的解题步骤，多做中等难度练习
K_TRI_010,解三角形,入门题型,实际应用,测量角概念（仰角、俯角、方位角、方向角、坡度）,2,K_TRI_001,理解仰角、俯角、方位角、方向角、坡度等概念，能正确识别示意图,复习测量角概念（仰角、俯角、方位角、方向角、坡度）的基本概念和公式，通过基础练习题巩固，确保公式记忆准确
K_TRI_011,解三角形,入门题型,实际应用,距离与高度测量问题,3,K_TRI_002|K_TRI_003|K_TRI_010,能将实际测量问题转化为解三角形问题并正确求解,复习距离与高度测量问题的基本方法，整理典型例题的解题步骤，多做中等难度练习
K_TRI_012,解三角形,入门题型,三角恒等变换,诱导公式统一函数名,3,K_TRI_005,能运用诱导公式统一三角函数名，进行化简求值,复习诱导公式统一函数名的基本方法，整理典型例题的解题步骤，多做中等难度练习
K_TRI_013,解三角形,进阶题型,三角恒等变换,拆角与凑角技巧（出现三个角时的处理）,4,K_TRI_012|K_TRI_004,掌握拆角与凑角技巧，能处理出现三个角时的恒等变换问题,梳理拆角与凑角技巧（出现三个角时的处理）的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_014,解三角形,进阶题型,三角恒等变换,辅助角公式化一与三角函数图象性质,4,K_TRI_013|K_TRI_005,能运用辅助角公式化简三角函数，结合图象性质求解值域问题,梳理辅助角公式化一与三角函数图象性质的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_015,解三角形,进阶题型,倍角关系,倍角关系的证明和应用（A=2B型边角关系）,4,K_TRI_004|K_TRI_005,理解倍角关系（A=2B型）的边角转化方法并能熟练应用,梳理倍角关系的证明和应用（A=2B型边角关系）的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_016,解三角形,进阶题型,倍角关系,扩角降幂公式的应用,3,K_TRI_015|K_TRI_005,能运用扩角降幂公式进行三角恒等变换化简,复习扩角降幂公式的应用的基本方法，整理典型例题的解题步骤，多做中等难度练习
K_TRI_017,解三角形,进阶题型,倍角关系,图形中二倍角的处理（构造等腰三角形）,4,K_TRI_015|K_TRI_003,掌握构造等腰三角形处理二倍角问题的方法,梳理图形中二倍角的处理（构造等腰三角形）的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_018,解三角形,进阶题型,中线问题,三角形中线定理与中线问题（倍长中线、向量法）,4,K_TRI_003|K_TRI_004,能运用中线定理、向量法、倍长中线等方法解决中线相关问题,梳理三角形中线定理与中线问题（倍长中线、向量法）的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_019,解三角形,进阶题型,角平分线,三角形角平分线定理与张角定理,4,K_TRI_003|K_TRI_008,能运用角平分线定理和张角定理解决角平分线相关问题,梳理三角形角平分线定理与张角定理的常见转化技巧和辅助线构造方法，多做综合题训练
K_TRI_020,解三角形,进阶题型,高线问题,三角形高线性质与高线问题（等面积法）,3,K_TRI_008|K_TRI_003,能运用高线性质和等面积法解决高线相关问题,复习三角形高线性质与高线问题（等面积法）的基本方法，整理典型例题的解题步骤，多做中等难度练习
