type_id,题型名称,关联知识点,典型问法,标准步骤,评分点,训练顺序
T_TRI_001,直接应用正余弦定理解三角形,K_TRI_002|K_TRI_003,已知两角一边、两边夹角、三边等基本条件，求其余边或角,①判断已知条件类型→②选择正弦定理或余弦定理→③代入公式计算→④检验结果合理性,正确选择定理（2分）；代入计算正确（2分）；最终答案正确（1分）,1
T_TRI_002,齐次与非齐次正弦定理应用,K_TRI_002,等式中同时出现边和角的正弦，可利用正弦定理进行边角互化,①识别齐次结构→②用正弦定理角化边或边化角→③化简求解→④验证,识别齐次结构（1分）；正确应用正弦定理转化（2分）；化简求解（2分）,2
T_TRI_003,已知两边及一边对角问题（SSA型）,K_TRI_002|K_TRI_004,"已知a, b, A，求其他边或角，需考虑三角形个数",①用正弦定理求sinB→②判断解的个数→③分别求解→④检验,正确应用正弦定理（2分）；判断解的个数（1分）；完整求解（2分）,3
T_TRI_004,三角形个数问题,K_TRI_004,题目问满足条件的三角形有几个，或已知SSA型判断解的个数,①确定已知条件类型→②比较对边与邻边上的高→③判断解的个数→④必要时画图验证,正确分析已知条件（1分）；掌握判断方法（2分）；结论正确（2分）,4
T_TRI_005,三角形形状判断,K_TRI_005,题目要求判断三角形是等腰、等边、直角、锐角或钝角三角形,①选择角化边或边化角的方向→②利用正余弦定理化简→③得出边或角的关系→④判断形状,方法选择正确（1分）；化简过程正确（2分）；形状判断准确（2分）,5
T_TRI_006,三角形面积问题,K_TRI_006,涉及三角形面积计算或已知面积求其他量,①根据已知条件选择面积公式→②代入计算→③必要时结合正余弦定理求未知量,公式选择正确（1分）；计算过程正确（2分）；最终答案（2分）,6
T_TRI_007,解三角形小题综合（多选）,K_TRI_007,多选题综合考查边角关系、恒等式、不等式等多个知识点,①逐一分析选项→②运用相关性质和定理判断→③注意特殊情况排除,每个选项判断正确得1分（共5分）,7
T_TRI_008,解三角形实际应用,K_TRI_008,测量高度、距离、航海问题等实际背景，需要建立三角形模型,①理解题意，画出示意图→②确定已知量和未知量→③选择合适定理解三角形→④回答实际问题,正确建模（2分）；定理应用（2分）；实际意义回答（1分）,8
T_TRI_009,三角形中线问题,K_TRI_009,涉及三角形中线，已知或求中线长度,①分析已知角是否被拆分→②选择方法（向量法/双余弦法/两次余弦法）→③建立方程求解→④验证,方法选择（1分）；建立方程（2分）；求解正确（2分）,9
T_TRI_010,三角形角平分线问题,K_TRI_010,涉及角平分线，已知或求角平分线长度，或利用角平分线比例,①识别已知条件→②选择方法（角平分线定理/等面积法/张角定理）→③计算求解→④验证,方法选择（1分）；定理应用（2分）；计算正确（2分）,10
T_TRI_011,三角形高线问题,K_TRI_011,涉及三角形的高，已知高或求高，或利用高进行转化,①利用高线形成直角三角形→②用等面积法建立关系→③结合正余弦定理求解,高线性质应用（2分）；等面积法（2分）；最终答案（1分）,11
T_TRI_012,三角形外接圆问题,K_TRI_012,涉及外接圆半径、外心，或需要利用外接圆性质解题,①利用正弦定理a/sinA=2R→②求出外接圆半径→③结合外心性质进一步求解,外接圆公式应用（2分）；外心性质（2分）；答案（1分）,12
T_TRI_013,三角形内切圆问题,K_TRI_013,涉及内切圆半径、内心，或需要利用内切圆性质解题,①利用S=rp求内切圆半径→②结合内心是角平分线交点的性质→③进一步求解,内切圆公式应用（2分）；内心性质（2分）；答案（1分）,13
T_TRI_014,多三角形问题,K_TRI_014,图形由多个三角形组成，有公共边、公共角或补角关系,①拆分图形为多个三角形→②在各三角形中用正余弦定理→③利用公共条件建立联系→④求解,正确拆分图形（1分）；各三角形中定理应用（2分）；公共条件转化（2分）,14
T_TRI_015,利用基本不等式求最值,K_TRI_015,求边长、面积、周长等的最值，且条件为边的对称形式,①由余弦定理得到边的关系式→②变形为基本不等式形式→③求最值→④验证等号成立条件,余弦定理应用（1分）；基本不等式变形（2分）；等号条件验证（1分）；答案（1分）,15
T_TRI_016,利用三角函数性质求范围,K_TRI_016,求范围问题，或条件中对角度有特殊限制（如锐角三角形）,①由正弦定理边化角→②利用三角恒等变换化简为单角函数→③确定角的范围→④求值域,边化角（1分）；三角恒等变换（2分）；角范围确定（1分）；求值域（1分）,16
T_TRI_017,最值范围问题综合,K_TRI_017,需要选择合适方法处理的最值或范围问题,①分析题目特点→②选择方法（基本不等式/三角函数）→③求解→④检验结果,方法选择（1分）；解题过程（3分）；答案（1分）,17
T_TRI_018,射影定理应用,K_TRI_018,等式中出现边与角余弦的线性组合，可考虑射影定理,①识别射影定理形式→②直接应用a=bcosC+ccosB等→③化简求解,识别形式（2分）；定理应用（2分）；答案（1分）,18
T_TRI_019,三角形四心综合问题,K_TRI_022,涉及重心、垂心、外心、内心的性质或位置关系,①判断涉及的是哪个心→②运用该心的定义和性质→③结合正余弦定理解题,正确判断心的类型（1分）；性质应用（2分）；定理结合（2分）,19
T_TRI_020,三角恒等变换与拆角凑角技巧,K_TRI_012|K_TRI_013,题目中出现三个角的关系，需利用A+B+C=π进行拆角或凑角，将未知角转化为已知角的组合,①识别角的关系→②利用内角和定理拆角（如C=π-A-B）→③应用和差角公式展开→④化简求解,正确拆角（2分）；和差角公式应用正确（2分）；化简结果正确（1分）,20
T_TRI_021,辅助角公式化一与三角函数性质,K_TRI_014,表达式中同时出现sin和cos的线性组合，需化为Asin(ωx+φ)形式，再利用三角函数图象性质求解,①识别asinθ+bcosθ结构→②应用辅助角公式化为√(a²+b²)sin(θ+φ)→③确定角的范围→④利用三角函数单调性/最值求解,辅助角公式应用正确（2分）；相位φ计算正确（1分）；利用三角函数性质求解正确（2分）,21
T_TRI_022,倍角关系与构造等腰三角形,K_TRI_015|K_TRI_016|K_TRI_017,题目中出现A=2B或类似倍角关系，或图形中存在二倍角需构造等腰三角形转化,①识别倍角关系→②利用正弦定理将倍角转化为边的关系（sinA=sin2B=2sinBcosB）→③或构造等腰三角形（延长CB到D使BD=AB）→④利用余弦定理或边角关系求解,正确识别倍角关系（1分）；正弦定理倍角转化正确（2分）；构造等腰三角形辅助线正确（1分）；最终求解正确（1分）,22
T_TRI_023,等分线与比例线段,K_TRI_021,题目中出现三等分线、定比分点或其他比例线段，需利用分点性质和向量/面积法求解,①识别等分点或比例关系→②利用定比分点向量公式表示分点位置→③或利用面积比等于底边长之比→④结合正余弦定理求解,正确识别比例关系（1分）；定比分点向量公式应用正确（2分）；面积法或向量法求解正确（2分）,23
T_TRI_024,几何图形之两次余弦定理法,K_TRI_026,图形中存在两个共享边或角的三角形，需在两个三角形中分别应用余弦定理，建立方程联立求解,①识别共享边/角的两个三角形→②在第一个三角形中应用余弦定理建立方程→③在第二个三角形中应用余弦定理建立方程→④联立方程消元求解,正确识别两个三角形的关系（1分）；两次余弦定理应用正确（2分）；联立方程求解正确（2分）,24
T_TRI_025,几何图形之构造辅助线与相似三角形,K_TRI_027,图形中边/角关系不直接，需通过延长线段、作平行线、作垂线等辅助线构造相似三角形或全等三角形,①分析已知条件和目标→②选择合适的辅助线（延长/平行/垂直）→③证明三角形相似或全等→④利用相似比/全等关系求解,辅助线构造合理（2分）；相似/全等证明正确（2分）；利用比例关系求解正确（1分）,25
T_TRI_026,几何图形之平面向量法与坐标系法,K_TRI_028|K_TRI_029,图形中涉及中点、分点、垂直等关系，或几何关系复杂难以用纯几何方法求解，可考虑建立坐标系或用向量表示,①选择合适的原点和坐标轴（或向量基底）→②将各点坐标/向量表示出来→③利用向量运算（数量积、模长）或坐标公式→④求解目标量,坐标系/向量基底选择合理（1分）；坐标/向量表示正确（2分）；向量运算/坐标公式应用正确（2分）,26
T_TRI_027,圆内接四边形与四点共圆,K_TRI_030|K_TRI_042,图形中四个点共圆或需证明四点共圆，利用圆内接四边形性质（对角互补、外角等于内对角、同弧所对圆周角相等）,①识别或证明四点共圆→②利用圆内接四边形性质（对角互补、外角=内对角）→③结合托勒密定理→④利用正余弦定理求解,四点共圆判断/证明正确（2分）；圆内接四边形性质应用正确（1分）；托勒密定理或正余弦定理求解正确（2分）,27
T_TRI_028,四心之重心与外心,K_TRI_031|K_TRI_032,题目中涉及重心（三条中线交点）或外心（三条中垂线交点、外接圆圆心），需利用其性质求解,"①识别涉及的""心""→②回忆其定义和性质（重心：分中线2:1，GA+GB+GC=0；外心：OA=OB=OC=R）→③选择合适方法（向量法/坐标法/几何法）→④结合正余弦定理求解","正确识别""心""的类型（1分）；性质应用正确（2分）；求解方法选择合理且计算正确（2分）",28
T_TRI_029,四心之垂心与内心,K_TRI_033|K_TRI_034,题目中涉及垂心（三条高线交点）或内心（三条角平分线交点、内切圆圆心），需利用其性质求解,"①识别涉及的""心""→②回忆其定义和性质（垂心：∠BHC=180°-A；内心：到三边距离相等=r，S=1/2(a+b+c)r）→③选择合适方法→④结合正余弦定理和面积公式求解","正确识别""心""的类型（1分）；性质应用正确（2分）；面积法或几何法求解正确（2分）",29
T_TRI_030,锐角三角形范围问题,K_TRI_035|K_TRI_038,题目明确限定三角形为锐角三角形，求面积、周长或边长的取值范围，需注意锐角条件对角度的限制,①利用正余弦定理将目标量表示为角的函数→②根据锐角三角形条件确定角的范围（三个角均<90°）→③利用三角函数单调性或基本不等式求值域→④验证边界条件,正确转化为角的函数（2分）；锐角条件下角的范围确定正确（2分）；值域求解正确（1分）,30
T_TRI_031,线性表达式范围问题,K_TRI_039,题目求形如2b-c、a+b、λa+μb等线性表达式的取值范围，需将边转化为角或利用几何意义求解,①利用正弦定理将边转化为角的正弦（a=2RsinA等）→②将线性表达式化为三角函数形式→③确定角的范围→④利用辅助角公式或三角函数单调性求值域,正弦定理边角转化正确（2分）；三角函数化简正确（1分）；角的范围确定正确（1分）；值域求解正确（1分）,31
T_TRI_032,边角关系等式证明,K_TRI_044,题目要求证明三角形中边或角的等式关系，如正余弦定理变形、正切恒等式等,①分析等式两边的结构→②选择证明方向（从左到右/从右到左/两边归一）→③利用正余弦定理、三角恒等变换进行化简→④得出等式成立,证明方向选择合理（1分）；定理应用正确（2分）；化简过程严谨（1分）；结论正确（1分）,32
T_TRI_033,三角形不等式与特殊点证明,K_TRI_045|K_TRI_046,题目要求证明三角形中的不等式（如外森比克不等式a²+b²+c²≥4√3S），或涉及布洛卡点等特殊点的性质证明,①分析不等式结构→②选择证明方法（基本不等式法/函数法/几何法）→③利用正余弦定理和面积公式转化→④得出不等式成立,证明方法选择合理（1分）；转化过程正确（2分）；等号条件说明正确（1分）；结论正确（1分）,33
T_TRI_034,解三角形与平面向量综合,K_TRI_047,题目中同时出现三角形和向量条件（如向量数量积、向量平行/垂直、向量模长），需将向量条件转化为三角形的边角关系,①将向量条件转化为边角关系（数量积→边的乘积×夹角余弦；垂直→数量积为0；平行→比例关系）→②利用正余弦定理求解三角形→③结合向量运算求目标量,向量条件转化正确（2分）；正余弦定理应用正确（2分）；最终求解正确（1分）,34
T_TRI_035,正余弦定理与三角函数图像综合,K_TRI_048,题目将解三角形与三角函数的图象性质（周期、最值、单调性、对称性）结合，需先解三角形再分析三角函数，或反之,①利用正余弦定理解出三角形的角或边→②将目标量表示为三角函数形式→③分析三角函数的图象性质（周期/最值/单调区间）→④结合三角形条件求解,解三角形正确（2分）；三角函数化简正确（1分）；图象性质分析正确（2分）,35
T_TRI_036,结构不良与条件开放性试题,K_TRI_049,"题目给出多个条件供选择（如""在①②③中任选两个作为已知条件""），或条件不完整需补充，考查条件选择和问题解决能力",①分析所有可选条件→②选择能构成有效三角形的条件组合→③利用正余弦定理求解→④说明选择理由和条件相容性,条件选择合理（1分）；条件相容性验证正确（1分）；正余弦定理应用正确（2分）；结论完整（1分）,36
