question_id,来源,题型,题干,选项,答案,解析,知识点ID,题型ID,常见错因ID,难度
Q_BAS_001,附件01-05改编,解答题,在△ABC中，已知 a=2，b=2√2，A=45°。求角 B，并说明解的个数。,"",sinB = b·sinA/a = 2√2·(√2/2)/2 = 1 → B=90°，唯一解。,sinB = b·sinA/a = 2√2·(√2/2)/2 = 1 → B=90°，唯一解。,K_SINE_RULE|K_TRIANGLE_EXISTENCE,T_SSA_SOLVE,"",中
Q_BAS_002,附件01-05改编,解答题,在△ABC中，已知 a=4，b=4√2，A=30°。求角 B（注意讨论解的个数）。,"",sinB = b·sinA/a = 4√2·(1/2)/4 = √2/2 → B=45° 或 135°，两解均满足 A+B<180°。,sinB = b·sinA/a = 4√2·(1/2)/4 = √2/2 → B=45° 或 135°，两解均满足 A+B<180°。,K_SSA|K_SINE_RULE|K_TRIANGLE_EXISTENCE,T_SSA_BRANCH,"",中
Q_BAS_003,附件01-05改编,解答题,在△ABC中，A=60°，B=45°，b=2√2。求边 a。,"",a = b·sinA/sinB = 2√2·(√3/2)/(√2/2) = 2√3。,a = b·sinA/sinB = 2√2·(√3/2)/(√2/2) = 2√3。,K_SINE_RULE,T_ANGLE_SOLVE,"",中
Q_BAS_004,附件01-05改编,解答题,在△ABC中，b=3，c=4，A=60°。求边 a。,"",a² = b²+c²−2bc·cosA = 9+16−24·(1/2) = 13 → a=√13。,a² = b²+c²−2bc·cosA = 9+16−24·(1/2) = 13 → a=√13。,K_COSINE_RULE,T_SIDE_SOLVE,"",中
Q_BAS_005,附件01-05改编,解答题,在△ABC中，a=√7，b=2，c=√3。求角 A。,"",cosA = (b²+c²−a²)/(2bc) = (4+3−7)/(4√3) = 0 → A=90°。,cosA = (b²+c²−a²)/(2bc) = (4+3−7)/(4√3) = 0 → A=90°。,K_COSINE_RULE,T_ANGLE_SOLVE,"",中
Q_BAS_006,附件01-05改编,解答题,在△ABC中，b=5，c=6，A=30°。求面积 S。,"",S = ½·b·c·sinA = ½·5·6·(1/2) = 15/2。,S = ½·b·c·sinA = ½·5·6·(1/2) = 15/2。,K_TRIANGLE_AREA,T_AREA_COMPUTE,"",中
Q_BAS_007,附件01-05改编,解答题,在△ABC中，面积 S=3√3，b=2，c=6。求角 A。,"",½·2·6·sinA = 3√3 → sinA = √3/2 → A=60° 或 120°（均使 A+B+C=180° 成立）。,½·2·6·sinA = 3√3 → sinA = √3/2 → A=60° 或 120°（均使 A+B+C=180° 成立）。,K_TRIANGLE_AREA|K_SINE_RULE,T_AREA_COMPUTE,"",中
Q_BAS_008,附件01-05改编,解答题,在△ABC中，若 a=2b·cosC，判断三角形形状。,"",a = 2b·(a²+b²−c²)/(2ab) → a² = a²+b²−c² → b²=c² → b=c，等腰三角形。,a = 2b·(a²+b²−c²)/(2ab) → a² = a²+b²−c² → b²=c² → b=c，等腰三角形。,K_SHAPE_JUDGE|K_COSINE_RULE,T_SHAPE_JUDGE,"",中
Q_BAS_009,附件01-05改编,解答题,在△ABC中，若 (a+b+c)(b+c−a)=3bc，求角 A，并判断该三角形是否一定为等边三角形。,"",(b+c)²−a²=3bc → a²=b²+c²−bc，故 cosA=(b²+c²−a²)/(2bc)=1/2 → A=60°。条件只确定 A；例如 b=2、c=3 时 a=√7，三边不等但仍满足条件，因此不一定是等边三角形。,(b+c)²−a²=3bc → a²=b²+c²−bc，故 cosA=(b²+c²−a²)/(2bc)=1/2 → A=60°。条件只确定 A；例如 b=2、c=3 时 a=√7，三边不等但仍满足条件，因此不一定是等边三角形。,K_SHAPE_JUDGE|K_SINE_RULE,T_SHAPE_JUDGE,"",中
Q_BAS_010,附件01-05改编,解答题,在△ABC中，已知 a=√3，b=2，A=60°。求角 B 并判断解的个数。,"",sinB = 2·(√3/2)/√3 = 1 → B=90°，唯一解。,sinB = 2·(√3/2)/√3 = 1 → B=90°，唯一解。,K_TRIANGLE_EXISTENCE|K_SINE_RULE,T_SSA_SOLVE,"",中
