knowledge_id,一级模块,二级模块,三级知识点,难度,前置知识点,掌握标准,补弱建议
K_ALTITUDE,中线角平分线高线,"",高线,中,"",能用 h=2S/a 与底边对应关系求高,高线对应底边不能张冠李戴
K_ANGLE_BISECTOR,中线角平分线高线,"",角平分线,中,"",能用角平分线定理 BD/DC=AB/AC,角平分线长公式与比例定理分用
K_ANGLE_TO_SIDE,最值与范围,"",角化边,中,"",能把角条件化为边的条件,正弦定理整式化，边化角同理
K_APOLLONIUS,定理与模型,"",阿波罗尼斯圆,中,"",能由 PA:PB=定值求动点轨迹圆,按比例平方展开配方成圆方程
K_CIRCUMCIRCLE,圆与多三角形,"",外接圆,中,"",能用 R=a/(2sinA) 求外接圆半径,直径所对圆周角为直角可简化
K_COMMON_EDGE,圆与多三角形,"",公共边角转化,中,"",能在共边两三角形间转化角与边,互补角正弦相等、同弧圆周角相等
K_COSINE_RULE,正余弦定理与基本应用,"",余弦定理,中,"",能由两边夹角或三边求第三边/角,记 a²=b²+c²−2bc·cosA，注意符号
K_EDGE_RANGE,最值与范围,"",边长范围,中,"",能用三角不等式与正弦定理求边范围,退化三角形处取开区间
K_EQUAL_AREA,中线角平分线高线,"",等面积法,中,"",能用一个面积两种表达建立方程,同一三角形面积可写成多种底高组合
K_HIDDEN_CIRCLE,定理与模型,"",隐圆,中,"",能从定角/定比识别隐圆轨迹,∠APB 为定角 → P 在定圆弧上
K_INCIRCLE,圆与多三角形,"",内切圆,中,"",能用 r=S/s 求内切圆半径,r=S/s，s 为半周长
K_INEQUALITY,最值与范围,"",基本不等式,中,"",能用 ab≤((a+b)/2)² 求最值并写取等,取等条件必须可达（三角形约束下）
K_MEDIAN,中线角平分线高线,"",中线长公式,中,"",能用 m_a=½√(2b²+2c²−a²) 求中线,中线公式与重心 2:1 分点结合
K_MULTI_TRIANGLE,圆与多三角形,"",多三角形拆分,中,"",能把复杂图形拆成若干三角形分析,公共边/公共角是拆分的桥
K_POWER_OF_POINT,定理与模型,"",圆幂定理,中,"",能用相交弦/割线/切割线定理,切线长平方等于割线两段之积
K_PTOLEMY,定理与模型,"",托勒密定理,中,"",能对圆内接四边形用 AC·BD=AB·CD+BC·DA,圆内接四边形对边乘积之和等于对角线乘积
K_RADIUS_RELATION,圆与多三角形,"",半径关系,中,"",能处理 R 与 r 的比例/数量关系,等边三角形 r=R/2，直角三角形 r=(a+b−c)/2
K_SHAPE_JUDGE,正余弦定理与基本应用,"",三角形形状判断,中,"",能由边角关系判断等腰/直角/等边,优先边化角或角化边统一再判断
K_SIDE_TO_ANGLE,最值与范围,"",边化角,中,"",能把边条件化为角的条件,边比化为正弦比，注意等价性
K_SINE_RULE,正余弦定理与基本应用,"",正弦定理,中,"",能在任意三角形中列出并解正弦定理方程,熟记 a/sinA=b/sinB=c/sinC，先找两边两角
K_SINE_SQUARE_DIFF,定理与模型,"",正弦平方差,中,"",能用 sin²A−sin²B=sin(A+B)sin(A−B),平方差公式与和差化积联动
K_SSA,,"",SSA 情形解个数讨论,中,"",,
K_TANGENT_IDENTITY,定理与模型,"",正切恒等式,中,"",能用 tanA+tanB+tanC=tanA·tanB·tanC,A+B+C=π 时成立，注意分母为零
K_TRIANGLE_AREA,正余弦定理与基本应用,"",三角形面积公式,中,"",能用 S=½bc·sinA 计算面积,面积含 ½ 与 sinA，勿漏
K_TRIANGLE_EXISTENCE,正余弦定理与基本应用,"",三角形存在条件,中,"",能判断给定条件是否构成唯一/两解/无解,SSA 必须讨论补角分支与 A+B<180°
K_TRIG_RANGE,最值与范围,"",三角函数值域,中,"",能求 sinA+sinB 等式的范围,和积化积后用 |cos|≤1 夹逼
K_ZHANG_ANGLE,中线角平分线高线,"",张角问题,中,"",能用 tan 关系与和角公式解共顶点角,张角两角之和为定角时列 tan 和角
