type_id,题型名称,关联知识点,典型问法,标准步骤,评分点,训练顺序
T_ALTITUDE_SOLVE,高线问题,"",求高线长或由高求面积,h=2S/a 或三角形拆分,底边对应正确,""
T_ANGLE_SOLVE,已知边求角,"",已知三边求最大角/判定,余弦定理求 cos 值,选最大边对应角；余弦值定角,""
T_AREA_COMPUTE,面积计算,"",已知两边夹角求面积,S=½bc·sinA,面积公式代入,""
T_BISECTOR_SOLVE,角平分线问题,"",角平分线分边或求角平分线长,比例定理/角平分线长公式,比例式；长公式 2bc·cos(A/2)/(b+c),""
T_CIRCUMCIRCLE_SOLVE,外接圆半径,"",求外接圆半径/直径,R=a/(2sinA),正弦定理比值,""
T_COMMON_EDGE,公共边角,"",共边两三角形间转化,正弦定理+互补角,角关系转化正确,""
T_EQUAL_AREA,等面积法应用,"",用等面积法建立方程,同一面积两种表达,两种表达相等；解方程,""
T_INCIRCLE_SOLVE,内切圆半径,"",求内切圆半径,r=S/s,面积与半周长,""
T_INEQUALITY_APPLY,不等式应用,"",用基本不等式求最值,配凑 ab 定值,取等可达性,""
T_MAX_MIN,最值范围,"",求边/周长/面积的最值或范围,边化角→三角函数范围；或不等式,取等条件说明,""
T_MEDIAN_SOLVE,中线长问题,"",已知三边/两边夹角求中线长,中线长公式或余弦两次,公式代入；结果开方,""
T_MULTI_TRIANGLE,多三角形,"",复杂图形拆分为三角形求量,找公共边/公共角拆分,拆分完整；无遗漏重叠,""
T_POWER_AND_CIRCLE,圆幂与隐圆,"",圆幂定理/隐圆轨迹,切割线/相交弦；定角轨迹,识别模型,""
T_PTOLEMY,托勒密定理,"",圆内接四边形求对角线,托勒密定理,对边配对正确,""
T_SHAPE_JUDGE,形状判断,"",由边角关系判断三角形形状,统一为边或角→化简,化统一；结论完整（等腰/直角/等边）,""
T_SIDE_SOLVE,已知两边一角求边,"",已知两边及夹角求第三边,余弦定理直接代入,套用余弦定理；开方取正,""
T_SSA_BRANCH,SSA 两解讨论,"",SSA 条件下判断解的个数并求两解,sinB 值→B 的两组可能→验证 A+B<180°,求 sinB；逐个验证解的合法性,""
T_SSA_SOLVE,SSA 解三角形,"",已知两边一对角求另一对角,正弦定理→sinB→讨论解数,列出正弦定理；补角分支与存在性,""
T_TANGENT_IDENTITY,正切恒等式,"",三角形内角正切关系,tan 和角公式,恒等式适用条件,""
T_TRIG_FUNC_RANGE,三角函数性质,"",求三角表达式范围,和差化积/辅助角,值域边界,""
