question_id,来源,题型,题干,选项,答案,解析,知识点ID,题型ID,常见错因ID,难度
Q_TRI_301,湖南耒阳一中等多校联考2024 高一期中,选择题,在△ABC中，角A，B，C的对边分别为a，b，c。若C=3A+3B，b=2，a=√2，则c=（ ）,A.√2|B.√10|C.√7|D.√2+1,B,由A+B+C=π及C=3(A+B)=3(π-C)，得4C=3π，C=3π/4。由余弦定理，c²=a²+b²-2ab cosC=(√2)²+2²-2·√2·2·cos(3π/4)=2+4-4√2·(-√2/2)=10，所以c=√10。故选：B。,K_TRI_002|K_TRI_003,T_TRI_001,E-CAL-001|E-CAL-002|E-CON-001|E-FOM-001|E-MOD-001,1
Q_TRI_302,长沙周南中学2021 高一月考,选择题,在△ABC 中，角A，B，C 的对边分别为a，b，c． 则“a > b”是“cosA < cosB”的（ ）,A.充分不必要条件|B.必要不充分条件|C.充要条件|D.既不充分也不必要条件,C,"在△ABC 中， “a > b”⇔“A > B” 而三角形内角的取值范围为(0,π)， 容易知y = cosx 在(0,π) 是单调递减的， 所以“A > B”⇔“cosA < cosB”， 则“a > b”⇔“cosA < cosB”， 即“a > b”是“cosA < cosB”的充要条件 故选：C.",K_TRI_002|K_TRI_003,T_TRI_001,E-CAL-001|E-CAL-002|E-CON-001|E-FOM-001|E-MOD-001,1
Q_TRI_303,湖南师大附中2024 高二期末,填空题,"已知△ABC的内角A,B,C所对边分别为a,b,c，若(a-2c cosB)sinA=2a cosA，a=2，且cosB=-sinC，则bc=______。",,4/3,"由正弦定理a=2RsinA、c=2RsinC及射影定理，a-2c cosB=b cosC-c cosB=2R sin(B-C)；代入题设(a-2c cosB)sinA=2a cosA=4R sinA cosA，约去2R sinA得sin(B-C)=2cosA。又cosB=-sinC=cos(π/2+C)，余弦在(0,π)单调，故B=π/2+C，即B-C=π/2，于是1=2cosA，A=π/3。结合B+C=2π/3得B=7π/12、C=π/12。由2R=a/sinA=4/√3，得bc=(2R)²sinB sinC=(16/3)sin(7π/12)sin(π/12)=(16/3)·(1/4)=4/3。故答案为：4/3。",K_TRI_002,T_TRI_002,E-CAL-001|E-CON-001|E-MOD-001,2
Q_TRI_304,长沙雅礼集团八校联考2025 高一期中,选择题,在△ABC 中，角A，B，C 的对边分别为a，b，c， 若a-b c-b = sinC sinA+sinB ，则A =（ ）,A.π/6|B.π/3|C.2π/3|D.π/3 或2π/3,B,"因为a-b c-b = sinC sinA+sinB ， 由正弦定理得a-b c-b = c a+b ，整理得b² + c² - a² = bc， 由余弦定理得cosA = b² +c² -a² 2bc = bc 2bc = 1 2 ， 又因为A ∈0,π ，所以A = π/3 ． 故选：B． 3 [湖南师大附中2021 高一期中] 在△ABC 中，a、b、c 分别为角A，B，C 的对边，",K_TRI_002,T_TRI_002,E-CAL-001|E-CON-001|E-MOD-001,1
Q_TRI_305,湖南师大附中2021 高一期中,填空题,在△ABC 中，a、b、c 分别为角A，B，C 的对边， 已知cosB cosC = b 2a-c ，S△ABC = 3 3 4 ，且b = 3，则a + c 的值等于 .,,3 2,"由正弦定理得cosB cosC = b 2a-c = sinB 2sinA-sinC ， 整理可得：sinBcosC = 2sinAcosB - sinCcosB， 可得sinBcosC + sinCcosB = sin(B + C) = sinA = 2sinAcosB. 因为A 为三角形内角，sinA ≠0,B ∈(0,π)， 所以cosB = 1 2 ,B = π/3 , 又S△ABC = 3 3 4 ,b = 3， 所以3 3 4 = 1 2 acsinB = 1 2 × a × c × 3 2 = 3 4 ac， 解得ac = 3， 由余弦定理得9 = a² + c² - ac = (a + c)2- 3ac = (a + c)2- 9， 解得a + c = 3 2. 故答案为：3 2. 【全左齐次】 4 [长沙雅礼教育集团2025 高一月考] 已知a,b,c 分别为△ABC 三个内角A,B,C 的对边，",K_TRI_002,T_TRI_002,E-CAL-001|E-CON-001|E-MOD-001,1
Q_TRI_306,长沙雅礼教育集团2025 高一月考,填空题,"已知a,b,c 分别为△ABC 三个内角A,B,C 的对边， 且acosC + 3asinC - b - c = 0，则A = ( ) A. π/2 B. π/6 C. 2π/3 D. π/3",,3,【巧用常数】 注意到2bsinB + 2csinC = bc + 3a 并不齐次，下面尝试将其化为齐次： ∵A = π/3 ，∴sinA = 3 2 ，则1 = 2 3 ， 则bc + 3a 可以化成2 3 sinA ⋅bc + 2sinA ⋅a， 即有2bsinB + 2csinC = 2 3 bcsinA + 2asinA， 由正弦定理，可得2b² + 2c² = 2 3 abc + 2a2，即b² + c² - a² = 1 3 abc， 又由余弦定理，则cosA = b² +c² -a² 2bc = 1 3 abc 2bc = a 2 3 = 1 2 ，所以a = 3. 故答案为：3. 【引入新变量R】 由正弦定理，a sinA = b sinB = c sinC = 2R(R 为外接圆半径)， 得sinB = b 2R ，sinC = c 2R ， 代入条件，则2b ⋅b 2R + 2c ⋅c 2R = bc + 3a， 化简得：b² +c² R = bc + 3a，① 由余弦定理，a² = b² + c² - 2bc ⋅cosA = b² + c² - bc，② 则由①②，得a² + bc = R(bc + 3a)， 又由正弦定理a = 2RsinA = 3R，即R = a 3 ， 则a² + bc = a 3 (bc + 3a) = abc 3 + a²， 所以bc = abc 3 ，又bc ≠0，所以a = 3. 故答案为：3.,K_TRI_002,T_TRI_002,E-CAL-001|E-CON-001|E-MOD-001,1
Q_TRI_307,长沙明德中学2024 高一期末,选择题,设△ABC 的内角A、B、C 所对边分别为a，b，c， 若A = π/3 ，且不等式x²- 3+ 3 x + 3 3 < 0 的解集为{x|b < x < a}，则B =（ ）,A.π/6|B.5π/6|C.π/6 或5π/6|D.2π/3,A,"不等式x²- 3+ 3 x + 3 3 < 0 即x-3 x- 3 < 0，解此不等式可得 3 < x < 3， 所以，a = 3，b = 3 ， 由正弦定理可得 b sinB = a sinA ，所以，sinB = bsinA a = 3sin π/3 3 = 1 2 ， ∵b < a，所以B < A，可得B 是锐角，所以B = π/6 ， 故选：A． 2 [长沙一中2024 高一月考] 在△ABC 中，角A,B,C 的对边分别为a,b,c，",K_TRI_002|K_TRI_004,T_TRI_003,E-CAL-001|E-CON-001|E-CON-002|E-LOG-002|E-MOD-001,1
Q_TRI_308,长沙一中2024 高一月考,填空题,"在△ABC中，角A,B,C的对边分别为a,b,c，若A=30°，a=4，b=4√3，则c的值为______。",,4或8,由余弦定理a²=b²+c²-2bc cosA，代入a=4、b=4√3、A=30°，得16=48+c²-2·4√3·c·(√3/2)，即c²-12c+32=0，(c-4)(c-8)=0，解得c=4或c=8。故答案为：4或8。,K_TRI_002|K_TRI_004,T_TRI_003,E-CAL-001|E-CON-001|E-CON-002|E-LOG-002|E-MOD-001,1
Q_TRI_309,01解三角形的入门题型.txt,解答题,已知△ABC 中，A = 30°，BC = 3 ，试求满足下列条件的△ABC 的个数. (1)AC = 4；(2)AC = 2 3 ；(3)AC = 2；(4)AC = 1.,,(1)0；(2)1；(3)2；(4)1,由正弦定理，BC sinA = AC sinB ，得sinB = AC BC sinA = AC 2 3 ， (1) 若AC = 4，则sinB = 4 2 3 = 2 2 > 1，此时无解，故△ABC 的个数为0； (2) 若AC = 2 3 ，则sinB = 2 3 2 3 = 1，则B = π/2 ，故△ABC 的个数为1； (3) 若AC = 2，则sinB = 2 2 3 = 1 3 < 1，并且此时AC > BC，则B > A， 因此B 会有两解，一个锐角，一个钝角，故△ABC 的个数为2； (4) 若AC = 1，则sinB = 1 2 3 < 1，但此时AC < BC，则B < A = 30°， 因此B 只会有一解，为锐角，故△ABC 的个数为1； 2 [长沙一中2023 高一月考] 在△ABC 中，A = 60°，BC = 2 3 ，BC 边上的高为2，,K_TRI_004,T_TRI_004,E-CON-002|E-LOG-002,2
Q_TRI_310,长沙一中2023 高一月考,填空题,在△ABC 中，A = 60°，BC = 2 3 ，BC 边上的高为2， 则满足条件的△ABC 的个数为 .,,2,"因为△ABC 中，A = 60°,BC = 2 3 ， 所以△ABC 的外接圆半径为R = 1 2 × BC sin60° = 2, 即A 位于以2 为半径的圆弧BAC 上， 如图，当△ABC 为正三角形时，此时顶点A 到BC 的距离的最大值为2 3sin60° = 3 > 2, 如图当A 位于E,F 处时，此时BE,CF 为外接圆直径，则EC ⊥BC,FB ⊥BC, 则EC = FB = 42-(2 3)2 = 2，满足A = 60°,BC = 2 3,BC 边上的高为2， 故满足条件的△ABC 的个数为2 个， 故答案为：2 3 [长沙长郡中学2024 高一月考] 已知△ABC 中，A = π",K_TRI_004,T_TRI_004,E-CON-002|E-LOG-002,1
