error_id,错因大类,错因名称,表现形式,判断依据,补救建议
E-CON-001,概念理解错误,正弦定理公式记忆错误,记错正弦定理公式，如写成a/cosA=b/cosB，或忘记2R，或分子分母颠倒,正弦定理是解三角形的基础公式，学生容易与余弦定理混淆，特别是分子分母的对应关系,结合外接圆图形理解正弦定理的几何意义，通过推导加深记忆，多做基础套用练习
E-CON-002,概念理解错误,对SSA型三角形解的个数理解不清,已知两边及一边对角时，直接认为有唯一解，忽略两解或无解的情况,"SSA型是解三角形中最容易出错的情形，学生常忽略sinA在(0,π)上不单调导致多解",通过画图直观理解为什么SSA型会有两解，掌握比较对边与邻边上高的判断方法
E-CON-003,概念理解错误,外心与内心概念混淆,混淆外心和内心的定义，把外接圆圆心当成角平分线交点，或内切圆圆心当成中垂线交点,三角形四心是易混概念，学生常因名称相似而记混其定义和性质,整理四心对比表，分别从定义（怎么来的）、性质（有什么用）、位置（在哪）三方面区分
E-CON-004,概念理解错误,重心与垂心概念混淆,混淆重心（中线交点）和垂心（高线交点）的定义和性质,四心中重心和垂心都在三角形内部（锐角三角形时），容易记混,从字面上理解：'重'与中线有关（重量均匀分布），'垂'与高（垂线）有关
E-FOM-001,公式运用错误,余弦定理公式符号错误,余弦定理中减号记成加号，如a² =b² +c² +2bccosA,余弦定理公式中是减号，学生易与完全平方公式混淆而写成加号,结合勾股定理理解：当A=90°时cosA=0，公式退化为勾股定理，验证记忆正确性
E-FOM-002,公式运用错误,面积公式记错系数或夹角,面积公式S=1/2absinC中漏掉1/2，或夹角不是两边的夹角,面积公式很多，学生容易混淆系数和对应角，特别是两边夹一角的条件,推导面积公式（由高推导），理解1/2的来源，强调必须是两边的夹角
E-FOM-003,公式运用错误,角平分线定理比例关系颠倒,角平分线定理中AB/AC=BD/CD，写成AB/AC=CD/BD，比例关系颠倒,角平分线定理的比例关系容易记反，学生不清楚哪条边对应哪条线段,用面积法自己推导一遍角平分线定理，理解比例关系的来源
E-FOM-004,公式运用错误,外接圆半径公式记错,把a/sinA=2R记成a/sinA=R，漏掉系数2,正弦定理中的2R是常见易错点，学生容易漏掉系数2,结合直径所对圆周角为直角来理解：当A=90°时，a就是直径=2R
E-FOM-005,公式运用错误,内切圆面积公式记错,把S=rp记成S=r·C（用周长不用半周长），或记错公式形式,内切圆面积公式中是半周长，学生常误用全周长,用面积法推导：将三角形分成三个小三角形，每个小三角形高都是r
E-FOM-006,公式运用错误,射影定理公式记混,射影定理a=bcosC+ccosB中，记错角的对应关系，或忘记是哪条边,射影定理三个公式形式相似，容易记混边和角的对应关系,从几何意义理解：a边等于b边和c边在a边上的投影之和
E-FOM-007,公式运用错误,海伦公式记错形式,海伦公式中半周长记错，或根号内乘积项记错,海伦公式结构复杂，学生容易记错半周长或乘积项,了解海伦公式的推导过程，通过具体三角形验证公式
E-CAL-001,计算错误,特殊角三角函数值记错,记错30°、45°、60°等特殊角的正弦、余弦值，导致计算错误,特殊角三角函数值是计算基础，学生容易混淆sin和cos的值,通过三角函数定义（对边/斜边）推导记忆，或用手指记忆法
